Data Type,Number Clusters,Distance Metric,Centroid,Silhouette Coefficient,Calinski-Herabaz,Sum of Squared Errors,Average Within-Cluster Sum Squares
raw,2,dtw,Average,0.854679298934,702.505857892,2738.52439925,7.48230710178
raw,3,dtw,Average,0.497845786429,634.724453907,1277.77177479,3.49117971254
raw,4,dtw,Average,0.493949725389,459.867024639,1200.86784921,3.2810596973
raw,5,dtw,Average,0.330351354265,500.095610084,792.516190146,2.16534478182
raw,6,dtw,Average,0.328204883645,403.612838877,776.354811847,2.12118801051
raw,7,dtw,Average,0.328258687154,380.359469332,656.397242756,1.7934350895
raw,8,dtw,Average,0.268405271349,321.32691187,690.030918243,1.88533037771
raw,2,dtw,DBA,0.854679298934,702.505857892,2276.81074155,6.22079437582
raw,3,dtw,DBA,0.798629082575,375.516538978,2028.60870825,5.54264674386
raw,4,dtw,DBA,0.326441337389,553.938561363,1507.03599654,4.11758469001
raw,5,dtw,DBA,0.324273358809,305.731798941,1651.67397691,4.51277042872
raw,6,dtw,DBA,0.267164901358,338.718767109,1675.05362807,4.57664925703
raw,7,dtw,DBA,0.24697319095,273.032563881,1348.3685096,3.68406696612
raw,8,dtw,DBA,0.202496390445,258.60746752,1609.53512935,4.39763696543
raw,2,dtw,Medoid,0.181779691916,26.0034546848,8125.15285896,22.1998711993
raw,3,dtw,Medoid,0.198246057429,52.7440272529,8125.15285896,22.1998711993
raw,4,dtw,Medoid,0.198246057429,52.7440272529,8125.15285896,22.1998711993
raw,5,dtw,Medoid,0.198246057429,52.7440272529,8125.15285896,22.1998711993
raw,6,dtw,Medoid,0.198246057429,52.7440272529,8125.15285896,22.1998711993
raw,7,dtw,Medoid,0.120983201237,52.1456204252,8125.15285896,22.1998711993
raw,8,dtw,Medoid,0.114001320514,50.4239985158,8125.15285896,22.1998711993
raw;2;dtw;TADPole;0.901365572363574;3315.64102279983;39732.4571145896;108.558625996146
raw;3;dtw;TADPole;-0.100490478681981;110.288193006743;39517.9094228073;107.97243011696
raw;4;dtw;TADPole;0.0356371583598805;95.0607109278208;35628.4057033322;97.3453707741316
raw;5;dtw;TADPole;-0.123756295501155;126.863459413868;35393.5352117957;96.7036481196603
raw;6;dtw;TADPole;-0.211333651492667;101.870004733325;35300.6266423508;96.4497995692646
raw;7;dtw;TADPole;-0.235317118351017;84.5498572176311;35311.5991626735;96.4797791329877
raw;8;dtw;TADPole;-0.358072223959267;72.4487332071926;35278.5123564531;96.389378023096
reduced;2;euclidean;Average;0.816139881458;792.140547738;89.6300473815;0.24489083984
reduced;3;euclidean;Average;0.522645420512;736.97567285;56.2563883012;0.153705978965
reduced;4;euclidean;Average;0.600964615108;1351.57907187;23.3329626111;0.0637512639647
reduced;5;euclidean;Average;0.601001704436;1210.74751441;19.7484774754;0.0539575887305
reduced;6;euclidean;Average;0.582454766344;1106.58803552;17.3913519342;0.0475173550115
reduced;7;euclidean;Average;0.543656881995;933.435754939;17.1490139452;0.0468552293585
reduced;8;euclidean;Average;0.430573974608;928.724626697;14.8586897833;0.040597513069
